NOC2L	FNDC10
CAPZB	FNDC10
INO80D	FNDC10
TMEM158	KANSL3
LSM4	FNDC10
JUNB	CFD
CNTNAP1	ADRA2A
EIF5AL1	LSM4
DCUN1D5	TMEM158
FGF18	JUNB
TIGD1	RBM17
PSMD10	JUNB
SRSF6	TMEM158
TIGD1	CHAMP1
GJB2	TMEM158
DEPDC1	ADRA2A
IL6	JUNB
